Variables	Cross section	N events expected	SoW of runs tree	SoW of full sample	SoW after seletion
HNL100	1.0	60000.0	245.44426796726006	245.44424438476562	0.561556801199913
HNL125	1.0	60000.0	84.95231616576001	84.95231819152832	0.5786045342683792
HNL150	1.0	60000.0	40.602303546960016	40.602301597595215	0.4238407462835312
HNL200	1.0	60000.0	3.7475138483999997	3.74751353263855	0.06573651731014252
HNL250	1.0	60000.0	1.7236013484200001	1.7236013412475586	0.03764285147190094
HNL300	1.0	60000.0	0.8280200871072002	0.8280200958251953	0.022208597511053085
HNL350	1.0	60000.0	0.4773397512366	0.4773397445678711	0.015123212710022926
HNL400	1.0	60000.0	0.27781663161000003	0.27781665325164795	0.009510458447039127
HNL450	1.0	60000.0	0.16804202816150002	0.16804204881191254	0.006431292742490768
HNL500	1.0	60000.0	0.11730995451300001	0.11730994284152985	0.00472694868221879
HNL600	1.0	60000.0	0.05641925507142001	0.0564192570745945	0.0025320546701550484
HNL700	1.0	60000.0	0.02810063657496	0.0281006321310997	0.0014275041176006198
HNL800	1.0	60000.0	0.016025295361680004	0.016025297343730927	0.000854354933835566
HNL900	1.0	60000.0	0.0094573701747	0.009457368403673172	0.0005224207416176796
DYJets_To_LL_M_50_madgraphMLM	5398.0	323880000.0	197649078.0	2187404.0	94.0
EWK_WMinus2Jets_W_To_LNu_M_50	32.05	1922999.9999999998	4479000.0	14339.0	1.0
EWK_WPlus2Jets_W_To_LNu_M_50	39.05	2343000.0	4488000.0	13567.0	0.0
EWK_Z2Jets_Z_To_LL_M_50	6.215	372900.0	1000000.0	38471.0	6.0
TT_To_2L2Nu	687.1	41226000.0	10457566706.558401	314613973.0	946677.296875
TT_To_SemiLeptonic	687.1	41226000.0	143354137521.5401	1159098641.0	129533.86291503906
TT_To_Hadronic	687.1	41226000.0	104910439190.40399	190391963.0	0.0
ST_tW_antitop_5f_inclusiveDecays	34.97	2098200.0	251902163.21000004	1536147.625	4518.7509765625
ST_tW_top_5f_inclusiveDecays	34.91	2094599.9999999998	258137398.58080003	1587154.875	4607.5029296875
ST_t_channel_antitop_4f_InclusiveDecays	69.09	4145400.0	6114949908.582957	8464019.75	1222.6823272705078
ST_t_channel_top_4f_InclusiveDecays	115.3	6918000.0	18955983507.893997	23114921.5625	3970.1549224853516
WJ1ets_To_LNu	8927.0	535620000.0	139159135.09094	90230.8203125	4.5613298416137695
W2Jets_To_LNu	2809.0	168540000.0	40098866.67467	54611.1015625	2.917899966239929
W3Jets_To_LNu	826.3	49578000.0	20236538.002433	27910.1767578125	0.0
W4Jets_To_LNu	544.3	32657999.999999996	57029839630.50626	127128880.0	12951.63671875
ZZ_To_4L	1.325	79500.0	130483169.6672	3872757.953125	41241.45788574219
ZZ_To_2L2Nu	0.9738	58428.0	55393058.96873601	539237.0625	59.524471282958984
WW_To_2L2Nu	44815,00	665400.0	110795281.86700001	1414285.875	22945.318359375
TTWJets_To_LNu	0.2161	12966.0	3502613.3919518394	152875.734375	769.5771789550781
TTZ_To_LLNuNu_M_10	0.2439	14634.0	4782962.671003082	265396.560546875	417.2527770996094
TTWW	0.007003	420.18	944000.0	50359.0	94.0
TTZZ	0.001386	83.16000000000001	498000.0	23117.0	10.0
TTWZ	0.002453	147.18	498000.0	22982.0	35.0
WWW_4F	0,00	0.6000000000000001	2187389.2789686006	35860.69714355469	1254.9278945922852
ZZZ	0,00	0.6000000000000001	149718.28892502398	3221.605728149414	10.489891171455383
WZZ	0,00	0.6000000000000001	588589.943698068	11992.68051147461	86.34125232696533
WWZ_4F	0,00	0.6000000000000001	1743637.2919786803	32369.90087890625	507.7623872756958
